,timestamp,city,store_id,sale_number,sale_amount,associate
0,2017-09-15,Alexandrabury,18,1043.0,15.0,Stacey Daniels
1,2017-09-11,East Jesusport,2,1729.0,396.0,Haley Pitts
2,2017-07-12,New Douglasmouth,13,2028.0,-78.0,Carlos French
3,2017-07-29,West Carriemouth,19,1245.0,1149.0,Jeffrey Ford
4,2017-11-07,Port Timothy,1,2365.0,724.0,Christopher West
5,2017-05-24,Katherinestad,18,2764.0,119.0,Jennifer Lee
6,2017-08-07,Lake Richard,4,2574.0,1387.0,Kayla Mercado
8,2017-10-18,North Linda,6,893.0,16.0,Johnny Turner
9,2017-02-14,New Timothy,17,2986.0,1487.0,Tony Lynch
10,2017-04-08,North Kyle,5,2944.0,537.0,Ashley Taylor
12,2017-06-17,Port Coryborough,3,1455.0,958.0,Laurie Carr DVM
13,2017-01-20,New Katherineville,8,1654.0,-89.0,Patricia Peterson
16,2017-05-01,Janiceview,1,820.0,443.0,Linda Snyder
17,2017-02-09,Beniteztown,3,1186.0,627.0,Mary Luna
24,2017-12-29,Nelsonfort,7,1781.0,146.0,Jennifer Mcdonald
25,2017-10-15,Jamesburgh,4,2102.0,-358.0,James Thompson
28,2017-11-05,Timchester,6,2292.0,-9.0,Michael Johnson
30,2017-12-15,East Jennifer,15,2623.0,1124.0,Ryan Morrow
31,2017-05-06,Lake Chelseatown,11,2941.0,-321.0,Don Garza
32,2017-10-09,Ariasberg,19,444.0,1299.0,Alicia Ross
35,2017-09-08,West Michael,11,2890.0,264.0,Christine Oneal
36,2017-06-29,South Stevenview,3,2683.0,-265.0,Mariah Wright
38,2017-08-06,Port Peter,13,1646.0,349.0,Dave Evans
40,2017-06-06,New Jason,16,280.0,309.0,Ashley Bryant
43,2017-10-23,Karaville,11,1569.0,-391.0,Christina Khan
44,2017-12-24,Dianabury,14,2697.0,-20.0,Nathan White
47,2017-04-04,Aliciastad,6,652.0,-164.0,Rhonda Stone
51,2017-04-18,Port Matthew,15,725.0,-455.0,Tracey Martin
52,2017-01-24,West Petermouth,14,1276.0,127.0,Robert Taylor
53,2017-05-29,New Amy,3,212.0,857.0,John Chambers
54,2017-09-25,Beardshire,18,1243.0,1027.0,Amanda Haynes
56,2017-02-08,West Natasha,3,278.0,-154.0,Charles Fletcher
57,2017-06-25,Port Shannon,12,2351.0,648.0,Dawn Schmidt
59,2017-04-06,East Curtis,17,443.0,112.0,Elizabeth Barber
60,2017-06-04,Jonesland,6,1774.0,1053.0,Christopher Young
65,2017-12-03,Robinsonshire,8,55.0,738.0,James Garcia
70,2017-10-26,Jacquelineburgh,19,59.0,1380.0,Brandi Simmons
72,2017-04-07,Lake Brandon,11,406.0,880.0,Stacy Mcintosh
73,2017-12-11,Guerrachester,15,2124.0,167.0,Nicole Gonzalez
74,2017-06-19,East Michelleville,7,1572.0,262.0,Eugene Summers
76,2017-03-16,South Ashleyton,3,2323.0,-4.0,Robert Landry
77,2017-05-17,Seanview,8,962.0,243.0,Jamie Cummings
79,2017-03-21,West Robertmouth,15,1799.0,262.0,Pamela Salinas
80,2017-10-14,Batesshire,6,914.0,467.0,Donald Smith
81,2017-08-13,Markmouth,1,2511.0,1504.0,Laura Henderson
86,2017-02-05,Port Amanda,1,421.0,1330.0,Christopher Joyce
88,2017-12-21,South Ryan,18,1835.0,1278.0,Robert Santos
89,2017-07-23,Davidstad,13,2689.0,976.0,Christopher Ortiz
90,2017-05-10,Port Matthew,4,170.0,-47.0,Adam Brandt
91,2017-03-26,Smithfurt,8,2072.0,-238.0,Mr. Micheal Hale DDS
92,2017-12-27,Lake Ashleytown,1,2532.0,1539.0,James Greer
98,2017-04-03,Port Briana,8,1219.0,799.0,Christian Perez
101,2017-04-23,Chaveztown,18,161.0,1551.0,Eric Hunter
